id,genre,title,author,publisher,edition
925,Satire,Taken 3,Leena,Rhoda,2
926,Action and Adventure,Hotel Rwanda,Bobine,Tonye,2
927,History,"Wild Blue Yonder, The",Susanetta,Birgitta,3
928,Health,Belphecor: Curse of the Mummy (Belphégor - Le fantôme du Louvre),Manon,Phylis,5
929,Math,Prime Suspect: The Lost Child,Stearn,Yehudit,5
930,Action and Adventure,The Periwig-Maker,Ermin,Hester,5
931,Diaries,"Clap, You're Dead",Dennison,Greer,1
932,Action and Adventure,"Wool Cap, The",Deina,Joane,5
933,Poetry,Avalon,Mitchael,Thorvald,4
934,Art,Godspeed You! Black Emperor,Lawrence,Idalia,4
935,Encyclopedias,Collateral Damage,Freddie,Taylor,4
936,Anthology,"Well Digger's Daughter, The (La fille du puisatier)",Aurelea,Ferd,5
937,Art,An Empress and the Warriors,Joelie,Elset,4
938,Dictionaries,"White Diamond, The",Chicky,Kliment,1
939,Science,Homeward Bound: The Incredible Journey,Belicia,Gwenora,4
940,Drama,Taking Chance,Sigismond,Stephana,2
941,Dictionaries,Zero Day,Harv,Sydelle,2
942,Journals,"Cat from Outer Space, The",Artus,Rock,1
943,Mystery,Shark Attack,Menard,Myer,4
944,Satire,"Heart Is Deceitful Above All Things, The",Merl,Homer,1
945,horror,I Thank a Fool,Isak,Kalli,3
946,Cookbooks,Americathon,Maggee,Hersch,5
947,horror,Isi & Disi: Amor a lo bestia,Jessey,Jobyna,2
948,Romance,"Punisher, The",Aurelia,Amalita,4
949,Mystery,Futurama: Bender's Game,Mady,Marybeth,5
950,Diaries,Gracie,Orton,Elizabeth,4
951,Romance,"Charge of the Light Brigade, The",Burt,Issi,2
952,Health,Elles,Jean,Kristina,2
953,Diaries,"Business, The",Jenilee,Carroll,2
954,Anthology,America Before Columbus,Ulberto,Charla,5
955,Guide,Our Dancing Daughters,Bartolomeo,Forbes,1
956,Children's,"Most Hated Family in America, The",Laney,Garrick,3
957,Anthology,8th Wonderland,Eberto,Ekaterina,2
958,Children's,Terminal USA,Lucias,Ardith,4
959,Diaries,Behind the Sun (Abril Despedaçado),Armin,Lida,2
960,Drama,Penelope,Hans,Ingelbert,5
961,Romance,Family Resemblances (Un air de famille),Gerald,Sven,4
962,Art,T.N.T.,Gibby,Thaxter,2
963,Mystery,Shark Night 3D,Glynn,Binky,3
964,Poetry,His Regeneration,Gonzalo,Montgomery,3
965,Journals,Paris Is Burning,Mia,Arin,4
966,horror,"Collector, The",Harmonia,Aube,4
967,Poetry,How the West Was Fun,Zacharia,Naoma,5
968, Spirituality & New Age,"Conspiracy of Torture, The (Beatrice Cenci)",Duncan,Gerhardine,2
969,Science,Missing,Sherie,Kari,1
970,Guide,Insanitarium,Bryna,David,1
971,Diaries,I Don't Want to Sleep Alone (Hei yan quan),Yorgos,Michaelina,3
972,Comics,Virginia City,Deva,Maxim,3
973,Horror,"3, 2, 1... Frankie Go Boom (Frankie Go Boom)",Clarita,Chrysa,1
974,Math,"Brood, The",Lowrance,Kienan,5
975,History,Cotton Mary,Elissa,Andie,2
976,Health,Suspect Zero,Bidget,Anders,4
977, Spirituality & New Age,Harper Valley P.T.A.,Jessalyn,Fionna,1
978,Science,"Signal, The",Tabbie,Jory,5
979,Horror,"Blue Dahlia, The",Mirabelle,Oralle,3
980,Romance,Jönssonligan dyker upp igen,Joshia,Anetta,2
981,horror,Bridge to the Sun,Aila,Tabina,1
982,Mystery,"Objective, The",Jacquelin,Jonie,4
983,Art,From Dusk Till Dawn 2: Texas Blood Money ,Lowell,Nerissa,3
984,Religion,The Woman on Pier 13,Oriana,Miriam,1
985,Comics,"Sleep, My Love",Ari,Olly,5
986,Satire,Philadelphia Experiment II,Janith,Antonio,3
987,History,Auto Focus,Lori,Bibby,2
988,Diaries,"Mrs. Brown (a.k.a. Her Majesty, Mrs. Brown)",Chiarra,Desdemona,4
989,Diaries,Broken English,Maureen,Osgood,5
990,Cookbooks,"Guru, The",Upton,Quent,2
991,Dictionaries,Dog Park,Cissy,Cornelle,4
992,Satire,4,Chrysa,Wynn,4
993, Spirituality & New Age,To Cross the Rubicon,Flossi,Galvin,5
994,biography,Three Colors: White (Trzy kolory: Bialy),Vanda,Sibeal,4
995,Dictionaries,12:01 PM,Ramona,Gris,1
996,Mystery,"Feuerzangenbowle, Die",Roi,Robinette,2
997,Math,"Phantom Lover, The (Ye ban ge sheng)",Timmie,Caitlin,5
998,Science fiction,Legion,Court,Timothea,1
999,Children's,Rabbit Without Ears 2 (Zweiohrküken),Katerine,Yehudit,2
1000,Anthology,"Sentimental Swordsman, The (To ching chien ko wu ching chien)",Gilberta,Mallory,4
